time_s,motor,sg,threshold,window_avg,window_n,vel_mms,pos_x,pos_y,pos_z,state
56.825,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.825,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.845,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.845,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.845,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.865,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.865,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.865,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.885,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.885,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.885,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.905,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.905,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.905,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.926,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.926,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.926,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.946,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.946,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.946,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.966,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.966,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.966,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.986,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.986,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.986,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.006,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.006,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.006,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.027,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.027,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.027,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.047,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.047,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.047,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.068,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.068,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.068,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.088,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.088,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.088,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.109,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.109,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.109,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.129,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.129,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.129,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.149,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.149,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.149,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.169,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.169,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.169,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.189,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.189,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.189,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.21,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.21,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.21,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.23,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.23,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.23,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.251,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.251,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.251,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.271,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.271,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.271,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.291,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.291,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.291,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.312,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.312,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.312,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.332,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.332,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.332,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.352,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.352,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.352,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.372,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.372,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.372,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.392,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
57.392,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
57.392,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
57.413,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
